CandidateID,Name,Age,Gender,Location,EducationLevel,SkillsQualifications,PastTrainingExperience,WorkExperience,ProgramInterest
ae462336-7c4e-4d91-9edc-cda72864f684,Sai Sharma,22,Male,"Hyderabad, Telangana",Diploma,"Communication, Customer Empathy, Customer Support, Graphic Design, Python, Sales",1-month Excel & MIS training,None,Digital Marketing Associate
f793545c-657d-4258-a333-822f9975d10c,Sakshi Mehta,21,Male,"Lucknow, Uttar Pradesh",12th Pass,"Adaptability, Critical Thinking, Graphic Design, Sales, Teamwork; Cert: Coursera Certificate",2-week digital literacy bootcamp,None,Customer Support Executive
257b1717-b6ee-4763-9e6d-93c654fbe554,Diya Chopra,22,Female,"Guwahati, Assam",MSc,"Adaptability, Graphic Design, Leadership, Python, Teamwork; Cert: AWS Cloud Practitioner (Prep)",None,None,Junior Web Developer
71dbbcfc-659d-417b-ae32-6e338bba1a55,Reyansh Nair,19,Male,"Guwahati, Assam",ITI,"Adaptability, Digital Marketing, Leadership, SQL, Web Development; Cert: Coursera Certificate",3-month retail internship,Freelance graphic designer (6 months),Retail Associate
cac7dd84-0d42-44ee-88fb-fbbbbfc90698,Sakshi Nair,20,Female,"Lucknow, Uttar Pradesh",ITI,"Communication, Critical Thinking, Customer Support, Digital Marketing, MS Excel, Power BI",None,None,Operations Coordinator
8381c040-285e-4030-aea8-23a38a3f9b2a,Ananya Iyer,25,Male,"Guwahati, Assam",BA,"Adaptability, Critical Thinking, Customer Support, Power BI, SQL, Time Management; Cert: Google Data Analytics (Intro)",4-week spoken English course,None,Sales Associate
9669abfa-7d60-43c1-a8dc-8fb709759d1c,Reyansh Verma,19,Male,"Chennai, Tamil Nadu",ITI,"Adaptability, Customer Empathy, Data Entry, Graphic Design, Problem Solving, Python; Cert: Coursera Certificate",8-week coding bootcamp,None,Business Analyst (Entry)
ecec9b3f-c372-43f7-bc1c-bc299207ebf3,Sai Kulkarni,22,Female,"Indore, Madhya Pradesh",Diploma,"Adaptability, Customer Empathy, Graphic Design, Java, SQL; Cert: NSDC Skill Certificate",1-month Excel & MIS training,None,HR Assistant
30d94b0b-f8c1-4c80-95a0-29852f94ac53,Nikhil Pillai,21,Male,"Chennai, Tamil Nadu",MSc,"Data Entry, Digital Marketing, Java, MS Excel, Problem Solving, Teamwork; Cert: NSDC Skill Certificate",8-week coding bootcamp,None,Data Analyst
15b724b4-d1ef-4bd6-b529-d166a38224c2,Kabir Saxena,19,Male,"Kochi, Kerala",Diploma,"Adaptability, Customer Empathy, Customer Support, Java, SQL, Sales; Cert: NSDC Skill Certificate",2-week digital literacy bootcamp,None,Graphic Designer
6ac4dd2b-29cc-4c99-a39f-17bde5b05040,Rohan Das,24,Prefer not to say,"Bhopal, Madhya Pradesh",MA,"Communication, Data Entry, Java, Leadership, Power BI, Python; Cert: MS Office Certification",None,None,Customer Support Executive
560c96d1-bbb5-40dd-b4d8-260e75afbb5d,Vihaan Nair,19,Non-binary,"Indore, Madhya Pradesh",Diploma,"Customer Empathy, Java, Power BI, Sales, Tally, Teamwork; Cert: NSDC Skill Certificate",8-week coding bootcamp,None,Customer Support Executive
523507ce-6ae9-4bd0-a5f8-c48576bcabe7,Kiara Chopra,24,Male,"Pune, Maharashtra",ITI,"Critical Thinking, Customer Empathy, Graphic Design, MS Excel, Python, Teamwork, Web Development",2-week digital literacy bootcamp,Part-time retail associate (3 months),Junior Web Developer
a8ed5bd4-d642-4659-9a29-d46d713ee756,Riya Nair,19,Male,"Bhubaneswar, Odisha",Diploma,"Critical Thinking, Customer Support, Teamwork, Web Development; Cert: NSDC Skill Certificate",None,Part-time retail associate (3 months),Digital Marketing Associate
ee80dff5-79b9-4bfb-9c07-df0c0f98e117,Aarohi Verma,20,Male,"Patna, Bihar",BCom,"Customer Empathy, Customer Support, Graphic Design, Problem Solving, Tally, Teamwork",None,Call center trainee (1 month),Data Analyst
29e1a67a-f89e-4993-9154-a965803b642d,Ananya Verma,18,Female,"Thiruvananthapuram, Kerala",MSc,"Communication, Customer Support, MS Excel, Problem Solving; Cert: MS Office Certification",3-month retail internship,None,Customer Support Executive
7573db21-ba3f-4aa8-ba38-f921976a04a2,Ishita Nair,18,Female,"Ranchi, Jharkhand",ITI,"Customer Support, Data Entry, Digital Marketing, Leadership, Tally, Teamwork",None,Freelance graphic designer (6 months),Sales Associate
37eb5be1-c39e-4e8f-b1bd-fd588c4a9f91,Ananya Gupta,18,Female,"Chandigarh, Chandigarh",Diploma,"Communication, Customer Empathy, Customer Support, Power BI, Problem Solving; Cert: NSDC Skill Certificate",2-week digital literacy bootcamp,None,Graphic Designer
d5fc7501-b76d-413b-a8e4-15ee3fe17c7d,Nikhil Malhotra,18,Female,"Bhubaneswar, Odisha",BCom,"Customer Empathy, Problem Solving, Python, SQL, Sales, Tally",None,None,HR Assistant
c876202a-08c8-486e-a251-a6b822f2e53c,Dev Pillai,25,Male,"Pune, Maharashtra",Diploma,"Customer Empathy, Data Entry, Graphic Design, Leadership, MS Excel, Problem Solving, Tally",2-week digital literacy bootcamp,Call center trainee (1 month),Graphic Designer
f44c4b97-2cff-4948-9b37-387beab6ee0b,Aarav Patel,19,Non-binary,"Hyderabad, Telangana",MSc,"Critical Thinking, Data Entry, Digital Marketing, Teamwork",2-week digital literacy bootcamp,Warehouse assistant (2 months),Data Analyst
2030ebd2-62d5-46e1-b96d-a560da3c1b4c,Diya Iyer,21,Female,"Bhopal, Madhya Pradesh",MSc,"Data Entry, Power BI, Problem Solving, SQL, Time Management",6-week customer service training,None,Accounts Executive
88d642dc-3095-4f3d-86dc-f401208e2aa7,Kabir Reddy,20,Female,"Bengaluru, Karnataka",BE/BTech,"Customer Empathy, Java, Power BI, Problem Solving",6-week customer service training,None,Data Analyst
b6244bfc-25f6-4cb1-b8b7-d0e6ba74f00f,Rohan Bose,23,Male,"Delhi, Delhi",BCom,"Communication, Customer Empathy, Customer Support, Graphic Design, Problem Solving, Web Development",4-week spoken English course,None,Customer Support Executive
633c90f0-f414-456e-852c-9448e1c94de8,Aisha Mehta,23,Female,"Indore, Madhya Pradesh",BE/BTech,"Communication, Customer Support, Graphic Design, Leadership, Power BI, Python, Time Management",3-month apprenticeship (IT support),Intern - data entry (2 months),Business Analyst (Entry)
9e4afbd3-caaf-4e7b-b434-fbb60d96ce97,Rohan Chopra,24,Male,"Indore, Madhya Pradesh",MBA,"Critical Thinking, Problem Solving, Python, Tally, Time Management, Web Development; Cert: AWS Cloud Practitioner (Prep)",1-month Excel & MIS training,None,HR Assistant
de48507e-1e7b-4248-a620-0ed6bf00b8e1,Myra Khan,22,Male,"Mumbai, Maharashtra",BCom,"Critical Thinking, Customer Empathy, Data Entry, Graphic Design, Power BI, Time Management; Cert: AWS Cloud Practitioner (Prep)",1-month Excel & MIS training,Field sales executive (4 months),Business Analyst (Entry)
75a7225b-3a02-454e-9498-343b35cf19ad,Ishaan Gupta,22,Female,"Dehradun, Uttarakhand",BBA,"Critical Thinking, Power BI, Teamwork, Time Management, Web Development",None,Delivery partner (3 months),Operations Coordinator
d88d4323-ef4b-4e3f-8e81-58e129c12196,Arjun Jain,24,Female,"Chandigarh, Chandigarh",BSc,"Graphic Design, Java, Leadership, Problem Solving, Sales, Web Development; Cert: AWS Cloud Practitioner (Prep)",8-week coding bootcamp,Tutor (5 months),Customer Support Executive
896b23d0-6c05-416b-88db-f22064210f18,Kiara Nair,20,Female,"Thiruvananthapuram, Kerala",MA,"Customer Empathy, Customer Support, Power BI, Teamwork; Cert: NSDC Skill Certificate",3-month retail internship,Delivery partner (3 months),Operations Coordinator
6f3fce8a-67bd-45b7-bbe7-6b879fa659f7,Ananya Jain,24,Female,"Bhubaneswar, Odisha",MA,"Adaptability, Critical Thinking, Java, Sales, Teamwork; Cert: NSDC Skill Certificate",None,Field sales executive (4 months),Sales Associate
addf4ce2-ce3a-4c92-8619-d6f6403bc655,Kabir Reddy,25,Male,"Ahmedabad, Gujarat",BSc,"Customer Support, Digital Marketing, Problem Solving, Sales, Teamwork",3-month retail internship,Call center trainee (1 month),Customer Support Executive
39e57423-4c45-44f0-9993-27d0cecfda85,Saanvi Mehta,23,Female,"Ranchi, Jharkhand",12th Pass,"Critical Thinking, Graphic Design, Sales, Time Management",2-week digital literacy bootcamp,Field sales executive (4 months),Accounts Executive
f6653a0e-8889-441f-919a-07b01a7c4e59,Sakshi Kulkarni,21,Female,"Lucknow, Uttar Pradesh",BE/BTech,"Critical Thinking, Digital Marketing, Graphic Design, MS Excel, Problem Solving, Time Management; Cert: Coursera Certificate",4-week spoken English course,Intern - data entry (2 months),Accounts Executive
11b78c9b-76ae-423c-83d7-0eda0240e10f,Kavya Saxena,18,Male,"Ranchi, Jharkhand",BA,"Leadership, MS Excel, SQL, Tally, Teamwork, Time Management",6-week customer service training,Part-time retail associate (3 months),Accounts Executive
de719468-e1e5-4bcd-a15b-9e1426de7d3a,Dev Gupta,25,Male,"Bhubaneswar, Odisha",12th Pass,"Communication, Power BI, Python, Teamwork, Web Development",None,None,Retail Associate
75e8614d-d7c3-4538-adb6-5248c25fe234,Pooja Patel,21,Female,"Lucknow, Uttar Pradesh",BBA,"Customer Empathy, Data Entry, Problem Solving, Sales",None,None,HR Assistant
3a645614-4467-4922-87a9-019a878a569a,Myra Bose,21,Male,"Jaipur, Rajasthan",Diploma,"Adaptability, Data Entry, Leadership, Python, Tally, Web Development; Cert: Google Data Analytics (Intro)",2-week digital literacy bootcamp,Intern - data entry (2 months),IT Support Technician
105a3c88-9345-4949-abd8-eda28e3a6f9e,Aarav Mehta,25,Male,"Bhopal, Madhya Pradesh",ITI,"Adaptability, Customer Empathy, Graphic Design, SQL, Sales; Cert: NSDC Skill Certificate",1-month Excel & MIS training,Part-time retail associate (3 months),Accounts Executive
b1f87f5e-1711-433e-a902-c1f1c895ae22,Kavya Reddy,23,Female,"Delhi, Delhi",BCom,"Communication, Data Entry, Java, Leadership, Power BI, Time Management; Cert: NSDC Skill Certificate",None,None,Junior Web Developer
b819fda9-675c-4cb3-8fba-d4395e2a188b,Aadhya Reddy,22,Female,"Thiruvananthapuram, Kerala",BSc,"Customer Empathy, Graphic Design, Leadership, Power BI, Time Management; Cert: MS Office Certification",1-month Excel & MIS training,Field sales executive (4 months),Customer Support Executive
e9483740-0cb0-4f2f-a7f6-185ede9c70cc,Samar Nair,24,Female,"Ahmedabad, Gujarat",ITI,"Adaptability, Critical Thinking, Customer Support, Data Entry, Digital Marketing, Java, Leadership",6-week customer service training,None,Junior Web Developer
397ffaaf-3165-4e27-a34b-ddf57ddcb7f5,Kunal Patel,21,Male,"Bhubaneswar, Odisha",BA,"Adaptability, Communication, Java, Power BI, Teamwork",2-week digital literacy bootcamp,None,Business Analyst (Entry)
5dbd5b84-056d-49bb-927c-54de320968bc,Sakshi Singh,22,Male,"Pune, Maharashtra",MSc,"Adaptability, Communication, Java, SQL, Sales",1-month Excel & MIS training,None,Data Analyst
57674182-8c1d-402a-81c6-96ab4a25de29,Dev Ghosh,19,Female,"Patna, Bihar",MA,"Data Entry, Problem Solving, Teamwork, Web Development; Cert: NSDC Skill Certificate",3-month apprenticeship (IT support),None,Digital Marketing Associate
4b8983fb-086f-49e5-b0f9-18cabe84c44c,Sai Kulkarni,24,Female,"Dehradun, Uttarakhand",BSc,"Adaptability, Critical Thinking, Customer Empathy, Graphic Design, Java, Tally, Web Development",4-week spoken English course,None,Digital Marketing Associate
4c370a83-a101-448c-abca-e87c384bd203,Rahul Reddy,19,Male,"Chennai, Tamil Nadu",MSc,"Adaptability, Customer Empathy, Leadership, MS Excel, SQL; Cert: Google Data Analytics (Intro)",None,None,Junior Web Developer
f938566b-1836-468b-bffb-5da8444ba31e,Riya Gupta,21,Non-binary,"Chandigarh, Chandigarh",ITI,"Customer Empathy, Graphic Design, Problem Solving, Python; Cert: NSDC Skill Certificate",None,None,Junior Web Developer
18957943-f95f-49c4-a067-90f98f9cb9a7,Aisha Saxena,22,Male,"Guwahati, Assam",BCom,"Adaptability, Communication, Customer Empathy, Customer Support, Data Entry, Graphic Design, Tally",2-week digital literacy bootcamp,None,Junior Web Developer
adc1b194-ea8b-4e51-83fe-6284118261eb,Vivaan Gupta,21,Prefer not to say,"Chandigarh, Chandigarh",MBA,"Problem Solving, Tally, Time Management, Web Development; Cert: MS Office Certification",2-week digital literacy bootcamp,None,Operations Coordinator
2399fe5e-18ab-4884-8acd-283e7a4a37a6,Kiara Ghosh,19,Female,"Ranchi, Jharkhand",BBA,"Critical Thinking, Leadership, Python, SQL, Time Management, Web Development",3-month apprenticeship (IT support),Field sales executive (4 months),Graphic Designer
70f28c9c-7695-4898-8e9c-e9a04e7ca2d9,Aditya Jain,19,Male,"Indore, Madhya Pradesh",Diploma,"Communication, Critical Thinking, Customer Support, MS Excel, Sales, Teamwork; Cert: MS Office Certification",3-month retail internship,Part-time retail associate (3 months),Sales Associate
93d3bff1-611e-4167-8de6-2fb583f9f555,Vihaan Iyer,22,Female,"Ahmedabad, Gujarat",MA,"Adaptability, Customer Empathy, Java, MS Excel, Power BI, Python",2-week digital literacy bootcamp,None,Customer Support Executive
3cda5997-c5f7-4551-af44-b8448bf47035,Riya Patel,20,Female,"Ahmedabad, Gujarat",MSc,"Adaptability, Customer Empathy, Data Entry, Graphic Design, Java, Tally",None,Intern - data entry (2 months),Business Analyst (Entry)
57e6f1ef-0389-45f2-a23f-f7b871643838,Arnav Gupta,22,Female,"Ranchi, Jharkhand",BBA,"Adaptability, Data Entry, MS Excel, Problem Solving, Sales, Tally, Time Management; Cert: Google Data Analytics (Intro)",2-week digital literacy bootcamp,Field sales executive (4 months),Accounts Executive
a82efee5-c89e-40de-a973-3faa52539222,Riya Joshi,21,Prefer not to say,"Jaipur, Rajasthan",MBA,"Customer Empathy, Graphic Design, Leadership, MS Excel, Power BI, Time Management; Cert: Google Data Analytics (Intro)",3-month retail internship,Field sales executive (4 months),Retail Associate
84be07a7-4446-42ff-8fa9-1eddc164b8f8,Sneha Verma,20,Female,"Chandigarh, Chandigarh",BBA,"Communication, Java, Leadership, Python, Teamwork; Cert: Google Data Analytics (Intro)",3-month retail internship,None,Sales Associate
fbb4bbfa-9160-4b84-962c-bcb363f46e33,Dev Joshi,24,Female,"Indore, Madhya Pradesh",ITI,"Customer Empathy, Customer Support, Digital Marketing, Graphic Design, Java, Teamwork; Cert: MS Office Certification",3-month apprenticeship (IT support),Delivery partner (3 months),Business Analyst (Entry)
5de6ef0f-3599-47e9-8128-18a724fdfbdb,Reyansh Mehta,19,Female,"Bengaluru, Karnataka",MA,"Communication, Problem Solving, Sales, Tally; Cert: NSDC Skill Certificate",None,Part-time retail associate (3 months),Retail Associate
5217dd60-577e-4627-b619-82bf69ccbf46,Kabir Pillai,24,Female,"Chennai, Tamil Nadu",BA,"Adaptability, Customer Empathy, Data Entry, Python, Time Management",1-month Excel & MIS training,None,Junior Web Developer
4491a996-e64f-4eae-91c1-5dee5af1f830,Aarav Jain,22,Female,"Chennai, Tamil Nadu",Diploma,"Adaptability, Data Entry, Digital Marketing, Problem Solving, Tally, Time Management",2-week digital literacy bootcamp,Part-time retail associate (3 months),Digital Marketing Associate
5d3c3486-6c3e-46f1-ab57-ef4a5f617165,Myra Saxena,23,Female,"Ahmedabad, Gujarat",12th Pass,"Adaptability, Critical Thinking, Data Entry, Graphic Design, MS Excel, Tally, Teamwork; Cert: MS Office Certification",2-week digital literacy bootcamp,Freelance graphic designer (6 months),Operations Coordinator
f682574f-007b-4715-a417-c250e4f35d5e,Dev Singh,19,Non-binary,"Pune, Maharashtra",BCom,"Data Entry, Digital Marketing, MS Excel, Problem Solving, Teamwork",2-week digital literacy bootcamp,None,Graphic Designer
fafbe412-4946-46b2-9895-c344009b8419,Ira Pillai,22,Female,"Lucknow, Uttar Pradesh",MA,"Critical Thinking, Customer Empathy, Digital Marketing, Python, Sales, Teamwork; Cert: NSDC Skill Certificate",6-week customer service training,Delivery partner (3 months),Graphic Designer
352fd1a7-957b-48dc-8918-6da189f19814,Ira Gupta,24,Male,"Bhubaneswar, Odisha",Diploma,"Communication, Customer Empathy, Digital Marketing, Leadership, Tally, Web Development",None,Tutor (5 months),Graphic Designer
2d056cad-9218-4e63-9563-2bdbb1fdf7e8,Ananya Malhotra,21,Female,"Guwahati, Assam",BCom,"Adaptability, Graphic Design, MS Excel, Python, SQL, Time Management",None,Intern - data entry (2 months),Accounts Executive
31440c7a-fa66-4946-8adb-89699635ddce,Riya Chopra,24,Female,"Hyderabad, Telangana",BE/BTech,"Communication, Data Entry, Graphic Design, Java, Leadership, Problem Solving, Python",2-week digital literacy bootcamp,None,IT Support Technician
5315748e-1a69-46e3-9e8a-7d6955f5c6b0,Muhammad Chopra,23,Male,"Lucknow, Uttar Pradesh",BSc,"Communication, Customer Empathy, Java, Python; Cert: NSDC Skill Certificate",None,None,Operations Coordinator
9ab21965-e1ce-4376-9ae5-b055150ab87c,Rahul Gupta,21,Female,"Jaipur, Rajasthan",BBA,"Adaptability, Data Entry, MS Excel, Problem Solving, Teamwork",None,Freelance graphic designer (6 months),Data Analyst
cd0740ed-95e7-402b-9189-8a16070e21c2,Arnav Sharma,23,Female,"Jaipur, Rajasthan",MBA,"Leadership, MS Excel, Problem Solving, SQL, Tally; Cert: Google Data Analytics (Intro)",None,None,Sales Associate
ba7a5e5c-204c-4360-9965-004117a246fc,Ira Pillai,19,Female,"Jaipur, Rajasthan",MBA,"Communication, Customer Empathy, Leadership, Sales, Web Development",1-month Excel & MIS training,Part-time retail associate (3 months),HR Assistant
bd8c1848-21ba-4d62-8b95-b901c2fdef1f,Muhammad Ghosh,25,Male,"Delhi, Delhi",BBA,"Adaptability, Critical Thinking, Customer Empathy, Python, SQL, Sales, Tally",1-month Excel & MIS training,Part-time retail associate (3 months),Business Analyst (Entry)
d9dbef38-cbd3-438b-a694-0f0cc896e849,Sai Kulkarni,21,Male,"Jaipur, Rajasthan",BE/BTech,"Graphic Design, Java, Leadership, Time Management, Web Development",None,Delivery partner (3 months),HR Assistant
